Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
apm Millennium City 5,apm創紀之城5,,,,,"418 Kwun Tong Rd.
(LG/F - 11/F)","觀塘道 418 號
(地下低層至11樓)",,,,,2004,,,
apm Millennium City 5,apm創紀之城5,BEA Tower Millennium City 5,東亞銀行中心創紀之城5,,,,,(12/F – 42/F),(12樓至42樓) ,,,,,,
Apollo Building,宇宙大廈,,,,,170 Castle Peak Rd.,青山道170號,,,,,1979,P,,
Aqua 33,,,,,,33 Consort Rise,金粟街33號,,,,,1993,P,,
AquaMarine,碧海藍天,,,,,8 Sham Shing Rd.,深盛路8號,,,,,2003,,,
Arbuthnot House,亞畢諾大廈,,,,,10-12 Arbuthnot Rd.,亞畢諾道10-12號,,,,,1979,P,,
Arcadia Gardens,菊苑,,,,,10 Ede Rd.,義德道10號,,,,,1965,P,,
Arch Court,雅緻閣,,,,,59 Sheung Shing St.,常盛街59號,,,,,1979,,,
Arden Court,雅苑,,,,,96/102 Tin Hau Temple Rd.,天后廟道96/102號,,,,,1974,P,,
Ardshiel,,,,,,45 Plantation Rd.,種植道45號,,,,,1981,,,
Arezzo,瀚然,,,,,33 Seymour Rd.,西摩道33號,,,,,2015,,,
Argenta,珒然,,,,,63 Seymour Rd.,西摩道63號,,,,,2013,,,
Argyle Centre Phase 1,旺角中心第一座,,,,,"65 Argyle St. &
688 Nathan Rd.","亞皆老街65號及
彌敦道688號",,,,,1982,P,,
Argyle House,雅佳樓,,,,,"43/49 Argyle St. &
274 Portland St.","亞皆老街43/49號及
砵蘭街274號",,,,,1964,P,,
Argyle Mansion,陶園,,,,,153 Argyle St.,亞皆老街153號,,,,,1965,,,
ARIA,峻弦,,,,,51 Fung Shing St.,豐盛街51號,,,,,2010,,,
Arion Commercial Centre,聯發商業中心,,,,,"Ground Floor:
2-12 Queen's Rd. W.
Upper Floors:
8 Queen's Rd. W.","地下︰
皇后大道西2-12號
樓上各層︰
皇后大道西8號",,,,,1981,P,,
Armagna Court,蘭香閣,,,,,5 Magnolia Rd.,玉蘭路5號,,,,,1982,,,
Aroma Court,金香閣,,,,,17 Tin Hau Temple Rd.,天后廟道17號,,,,,1967,P,,
Aroma House,妙香草堂,,,,,98 Blue Pool Rd.,藍塘道98號,,,,,1964,,,
Arran Court,毅廬,,,,,2 Shek Ku St.,石鼓街2號,,,,,1979,P,,
Arran Tower,環亞中心,,,,,7 Arran St.,鴉蘭街7號,,,,,1963,,,
Arsenal House,警政大樓,,,,,1 Arsenal St.,軍器廠街1號,,,,,1997,,,
Art Court,雅怡居,,,,,195A Castle Peak Rd.,青山道195A號,,,,,2000,P,,
Arthur Commercial Building,雅達商業大廈,,,,,"Ground Floor:
26 Temple St. &
33 Arthur St.
Upper Floors:
33 Arthur St.","地下︰
廟街26號及
雅打街33號
樓上各層︰
雅打街33號",,,,,1992,P,,
Artisan House,瑧蓺,,,,,1 Sai Yuen Lane,西源里1號,,,,,2018,,,
Artisan Hub,,,,,,9 Luk Hop St.,六合街9號,,,,,1966,,,
Artland Court,雅麗閣,,,,,392 Chai Wan Rd.,柴灣道392號,,,,,1978,P,,
Arts Building,雅緻大廈,,,,,36/40 Robinson Rd.,羅便臣道36/40號,,,,,1977,P,,
Arts Court,美藝苑,,,,,22/24 Sycamore St.,詩歌舞街22/24號,,,,,1962,P,,
Arts Mansion,雅詩大廈,,,,,43 Wong Nai Chung Rd.,黃泥涌道43號,,,,,1979,P,,
Arts Mansion,雅寶大廈,,,,,"46-58 Arthur St. &
4-6 Man Ming Lane","鴉打街46-58號及
文明里4-6號",,,,,1986,P,,
Artview Court,雅景閣,,,,,4 Hong Ping St.,康平街4號,,,,,1978,P,,
Ascot Mansion,雅閣大廈,,,,,421/425 Lockhart Rd.,駱克道421/425號,,,,,1985,P,,
Ascot Tower,雅仕閣,,,,,45/47 Village Rd.,山村道45/47號,,,,,1984,P,,
Ascot Villas,雅仕閣,,,,,11 King Kwong St.,景光街11號,,,,,1985,P,,
Ashfield House,寶田大廈,,,,,4/8 Yuen Ngai St.,園藝街4/8號,,,,,1972,P,,
Ashfield House (Stage II),寶田大廈 (第二期),,,,,5 Yuen Ngai St.,園藝街5號,,,,,1974,P,,
Ashley 18,,,,,,18 Ashley Rd.,亞士厘道18號,,,,,1998,,,
Ashley Mansion,雅士洋樓,,,,,"Ground Floor:
10/14 Ashley Rd. &
3/5, 9 Ichang St.
Upper Floors:
7 Ichang St.","地下︰
亞士厘道10/14號及
宜昌街3/5、9號
樓上各層︰
宜昌街7號",,,,,1971,P,,
Ashley Nine,順豐大廈,,,,,9/11 Ashley Rd.,亞士厘道9/11號,,,,,1998,,,
Asia Harvest Commercial Centre,潤民商業中心,,,,,324 Shau Kei Wan Rd.,筲箕灣道324號,,,,,1995,P,,
Asia Mansion,亞洲大樓,,,,,"326/328 Sai Yeung
Choi St. N. & 40/42
Boundary St.","西洋菜北街326/328號
及界限街40/42號",,,,,1966,P,,
Asia Mansions,亞洲大廈,,,,,390/394 King's Rd.,英皇道390/394號,,,,,1966,P,,
Asia One Tower,宏亞大廈,,,,,8 Fung Yip St.,豐業街8號,,,,,1982,,,
Asia Pacific Centre,亞洲太平洋中心,,,,,8 Wyndham St.,雲咸街8 號,,,,,1997,,,
Asia Society Hong Kong Centre,亞洲協會香港中心,,,,,9 Justice Drive,正義道9號,,,,,2010,,,
Asia Standard Tower,泛海大廈,,,,,"59/65 Queen's Rd. C. &
6/10 Li Yuen St. W.","皇后大道中59/65號
及利源西街6/10號",,,,,1977,,,
"Asia Women's League
Chan Kwun Tung Care &
Attention Home for the Elderly","亞洲婦女協進會陳昆棟
頤養之家護理安老院",,,,,3 Hereford Rd.,禧福道3號,,,,,1987,,,
Asian Building,亞洲大廈,,,,,"254-258 Cheung Sha
Wan Rd.",長沙灣道254-258號,,,,,1983,P,,
Asiarich Court,嘉彩閣,,,,,5 Staunton St.,士丹頓街5號,,,,,1994,P,,
Asjoe Mansion,天次樓,,,,,2 Ho Man Tin Hill Rd.,何文田山道2號,,,,,1964,P,,
Aspen Court,楊華閣,,,,,46 High St.,高街46號,,,,,1990,P,,
Aspen Crest,鑽嶺,,,,,68 Wan Fung St.,環鳳街68號,,,,,2018,P,,
Assun Pacific Centre,日昇亞太中心,,,,,41 Tsun Yip St.,駿業街41號,,,,,1996,P,,
